epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,0.020,0.000,9.377843,18.056105,0.028069,2.108112,0.699020,2.050886,2.644897,0.021450,0.738308,0.697117,1.00e-03
2,0.040,0.000,3.352798,6.010338,0.016853,2.003003,0.694584,1.188454,1.417361,0.012792,0.246983,0.699772,1.00e-03
3,0.060,0.000,1.755729,2.813861,0.011349,2.007237,0.696915,1.503941,1.085733,0.007184,1.216691,0.698275,9.99e-04
4,0.080,0.000,1.044771,1.387841,0.009032,2.399711,0.700979,2.179451,0.876404,0.004388,2.746799,0.731311,9.99e-04
5,0.100,0.000,0.762383,0.825407,0.008793,3.370432,0.698480,2.522598,0.628439,0.003030,3.730004,0.683723,9.98e-04
6,0.120,0.000,0.635500,0.585673,0.008776,4.334206,0.684274,3.006415,0.482278,0.002381,4.865223,0.662949,9.98e-04
7,0.140,0.000,0.543483,0.440376,0.008768,5.356610,0.645361,3.213387,0.415734,0.002106,5.389100,0.619834,9.97e-04
8,0.160,0.000,0.474509,0.406290,0.008764,5.491323,0.541326,3.377820,0.402336,0.001989,5.439896,0.911418,9.96e-04
9,0.180,0.000,0.460463,0.396861,0.008761,6.174900,0.522489,3.760949,0.383896,0.001894,6.085880,1.050227,9.95e-04
10,0.200,0.000,0.420267,0.376410,0.008759,6.525326,0.462372,4.095136,0.359967,0.001814,6.702560,1.125932,9.94e-04
11,0.220,0.000,0.387168,0.349451,0.008754,6.775399,0.422959,4.201052,0.337801,0.001754,6.996667,1.065882,9.93e-04
12,0.240,0.000,0.239494,0.321656,0.008751,6.839391,0.155232,4.435440,0.324525,0.001705,7.098060,1.446588,9.91e-04
13,0.260,0.000,0.263144,0.306311,0.008750,7.001909,0.217702,4.351408,0.308351,0.001668,7.234282,1.158516,9.90e-04
14,0.280,0.000,0.210598,0.285111,0.008747,7.111195,0.133635,4.835401,0.306012,0.001630,6.949314,2.413848,9.88e-04
15,0.300,0.000,0.573578,0.304634,0.008742,7.272319,0.839900,3.986910,0.342776,0.001615,7.364730,0.264700,9.86e-04
16,0.320,0.000,0.255203,0.283197,0.008738,7.384281,0.224413,4.135813,0.273888,0.001595,7.418348,0.577794,9.84e-04
